"1","Qui est le chevalier noir?","Joker","Harley Quinn","Batman","Batman","comics","Il porte un masque de chauve-souris"
"2","Il se nommait Kal-El sur Krypton mais il a été envoyé sur Terre par se","Superman","Superboy","Surpergirl","Superman","comics","Il peut tirer des lasers avec ses yeux"
"3","Quelle super-héroïne possède le lasso de vérité qui oblige quiconque e","Wonder Girl","Wonder Woman","Oracle","Wonder Woman","comics","Le nom en anglais est celui d'une femme, pas d'une fille"
"4","Le super vilain Red Hood est...","Jason Todd le Robin qui a mal ","Roy Harper le Red Arrow qui a ","Le fils de Deathstroke","Jason Todd le Robin qui a mal ","comics","C'est l'ancien disciple de Batman"
"5","Flash a un ennemi juré. Il lui ressemble comme deux gouttes d'eau et e","Kid Flash","Zoom","Barry Allen","Zoom","comics","C'est le meme nom que l'on utiliser pour voir plus loin"
"6","Il possède un pouvoir étrange : il ne voit que dans le noir complet ! ","Batman","Doctor Mid-Nite","Nightwing","Doctor Mid-Nite","comics","Il possede un doctorat"
"7","Après combien de temps la meilleure FairyTail revient-elle ?","3 ans","10 ans","7 ans","7 ans","manga","Le meme nombre d'annee que pour l'age de raison"
"8","Le manga GTO, vous connaissez ? Le personnage central se présente souv","Le vent ","L'air","Les nuages","L'air","manga","C'est comme le dernier maitre de..."
"9","Créé par Tite Kubo, le manga Bleach a pour protagoniste principal....","Ichigo Kurosaki","Iruko Noshikuma","masha Nakawe","Ichigo Kurosaki","manga","La derniere syllabe du prenom est le meme mot qu'""aller"" en anglais"
"10","Dans le manga Death Note, Ryuk désigne quel genre de Dieu, qui accompa","Dieu de la mort","Dieu de la persuation","Dieu de la malice","Dieu de la mort","manga","Le meme Dieu que le nom du manga..."
"11","Le quatrieme Hokage de Konoha est connu sous le nom de Minato Namikaze","Naruto","Sasuke","Sakura","Naruto","manga","On parle ici du personnage phare du manga"
"12","Edward et Alphonse Elric sont deux personnages tirés de quel manga ?","Fullmetal Alchemist","AssassinationClassroom","Death Note","Fullmetal Alchemist","manga","Meme reponse avec un film dont le nom fini par ""jacket"", sans le deuxieme mot"
"13","Dans Dragon Ball Z, le namek Piccolo a décidé de fusionner avec quel a","Nail, un autre namek","Sangoku lui-meme","Sangohan pour mieux l'entraine","Nail, un autre namek","manga","Un personnage de la meme espece que Piccolo"
"14","Dans quel album le Capitaine fait-il la connaissance de Tintin ?","Le secret de la licorne","Le crabe aux pinces d'or","Le trésor de rackham le rouge","Le crabe aux pinces d'or","bd","Une histoire de crustaces..."
"15","Les albums de Tintin ont été créés par :","Peyo","Franquin","Hergé","Hergé","bd","L'un est au schtroumpfs, l'autre est a Gaston Lagaffe. Donc le dernier est ..."
"16","Combien y a t-il de personnages feminins les Schtroumpfs ?","1","2","3","3","bd","Plus que vous ne pensez..."
"17","Rahan est également surnommé Le fils des âges... ?","Farouches","de Pierre","Enchantés","Farouches","bd","On dit d'un animal, qu'il est aussi un peu... "
"18","Le personnage, pilote de course, a étécréé en 1957 par Jean Graton ?","Michel Vaillant","Sebastien Loeb","Mickael Schumacher","Michel Vaillant","bd","Son nom de famille est un synonyme de courageux"
"19","Quel genre de personnage se nourri d'epinards afin d'accroitre sa forc","Popeye","Inspecteur Gadget","Rahan","Popeye","bd","C'est le marin qui fume la pipe !"
"20","Quel personnage de Far West, héroïne de bande dessinée, a réellement e","Calamity Jane","Belle Starr","Annie Oakley","Calamity Jane","bd","Meme nom de famille pour le personnage feminin phare dans Tarzan"
